3/1,1.1
3/2,1.5
3/3,1.4
3/4,1.2666666666666666
3/5,1.2285714285714286
3/6,1.25
3/7,1.288888888888889
3/8,1.3
3/9,1.290909090909091
3/10,1.4166666666666667
3/11,1.4615384615384615
3/12,1.5142857142857142
3/13,1.5466666666666666
3/14,1.55
3/15,1.6352941176470588
3/16,1.5666666666666667
3/17,1.6105263157894736
3/18,1.48
3/19,1.5142857142857142
3/20,1.509090909090909
3/21,1.4173913043478261
3/22,1.425
3/23,1.384
3/24,1.353846153846154
3/25,1.3777777777777778
3/26,1.3428571428571427
3/27,1.3862068965517242
3/28,1.4333333333333333
3/29,1.4258064516129032
3/30,1.4125
3/31,1.4171779141104295
