新冠疫情正在全世界蔓延，俄媒：中国到底是如何战胜病毒的？,2020-03-18 11:10:21,['我就是土生土长的海南岛三亚市人，在欧洲疫情没有爆发之前，三亚疫情已经清零，群众已经可以在灿烂的阳光下散步在银白的沙滩上呼吸着清新空气…', '尊重自己从尊重别人开始，你的所谓的自由也许是对他人的侵害，自律、自尊，看来亚洲人在整个地球上做的最好。', '我是中国人，我骄傲我有自律性有责任感！中国的胜利靠的就是民族精神的凝聚力和全国人民的大团结！中国如何战胜疫情的？答案是:全国一盘棋，心齐泰山移。我们是全国一条心，坚决消灭疾病。而我们所展现出来的自信，互爱，协同万众一心，一方有难八方支援精神是外界无法了解的', '80年的我，第一次经历这样的战斗，做为中国人很自豪，也表现出我们中国在变强大，我们不怕战争，也不具战，14亿人民一条心，除了中国，没有第二个国家能这样', '说到底还是中国人民自觉']
全球新冠新增病例连续5天每天超10万，中南美洲疫情尤其令人担忧,2020-06-06 10:33:07,[]
最新新冠疫情 美国今日凌晨确诊病例突破13万,2020-03-30 08:16:30,['美国继续加油，你们的目标要过亿', '多行不义必自毙！\n一路高歌！', '美国人民一定要好好保护自己，平安才是福[祈祷][祈祷]', '我坐在城楼关山景，招及大国，美国人前三百年前都是贼马强盗，住杂在东西海岸，打家劫舍无恶不作，今天的抱因来了[呲牙][呲牙][呲牙][点亮平安灯][点亮平安灯][点亮平安灯][点亮平安灯][点亮平安灯]坚持一年多给美国人点赞[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]', '管它多少，关我什么事。风景那边独好，我自坐城楼观对面风景，风景那边独好。']
新冠病毒感染每10万人所用时间越来越短 全球抗击疫情进入关键期,2020-03-25 17:13:05,['之前的种种鄙视幸灾乐祸，而我们给他们做出了榜样，全世界在学习我们的抗疫经验不想谦虚给我们当徒弟反而却都偷偷学艺，告诫你们是让你们演孙子，没让你们超越孙子', '大道至简。天佑神州', '国外你们不是说只不过是流感吗', '病毒专治各种不服。', '怕，还是有好处的！[呲牙][呲牙]']
全球新冠疫情：累计确诊超665万例  死亡逾39万人,2020-06-05 19:17:04,[]
全球新冠确诊超470万例，世卫、钟南山均发出第二波疫情预警；注意！我国这两地区新增本土病例,2020-05-18 09:46:29,['各自都带好口罩做好防备，目前最担心的是学校，孩子上学每天最担心的就是怕听到有孩子发烧，学校防护工作一定要做到滴水不漏，娃娃是未来的栋梁！', '这是不是说明，我们身边隐藏了一些连自己都不知道的无症状患者', '疫情看来一时半会儿过不去啊！估计这还不是我们最担心的事，估计最担心的是国外大爆发后疫情平静后我们都放松一下后更怕他们很多都有了抗体以后任然带有病毒流入国内这才更可怕，反正大家要做好增强自我防范意识最好', '希望疫情赶紧过去，结束这一切恐慌！', '愿中国平安，愿世界平安！']
美国疫情形势严峻！新冠肺炎确诊病例已超171万例，死亡超10万人,2020-05-29 15:36:38,['川普·太聪明不亏是做大买卖的商人', '特朗普是上帝派来整治美国的，顺便帮他搧了一把新冠风！果然显示了上帝的威力！', '美国人是为国家减轻负担。', '哈哈哈，可惜太少了', '建议美国大量印钱因为不值钱了所以来我国买货时起马两倍收费折去它印钱降值的那部分:这样的公平合理']
新冠肺炎疫情：集体感染仍有发生  韩日加强应对,2020-06-05 08:58:12,[]
疫情31省区市新增新冠肺炎7例 无症状感染者新增8例,2020-05-13 11:14:37,['吉林，哎！']
美国新冠肺炎确诊病例超130万，政府未及时筛查入境者致疫情蔓延,2020-05-10 17:54:05,['美国川普在搞一项灭老年人，基本上都死的65岁以上老年，所以美国政府觉得死一百万都是小事，老人死的多减轻政府负担。', '5月底达200万人，死亡15一20万人，特朗普总统心痛不痛?难道人命就不值钱吗?', '本月200万有望！', '距离特朗普目标还有差距，美国继续努力，美国加油！争取尽快完成目标！', '距离一千多万还差得远呢。没有什么问题']
3月1日全国疫情最新进展：31省区市新冠肺炎79824例，新增573例,2020-03-01 08:30:44,['新增病例越来越少，疫情控制还需谨慎，希望早点战胜病毒，全民加油！中国加油！！', '武汉为什么每天都在增加？控制得当应该不会出现这种持续性增长啊？！', '希望疫情早日结束 🙏🙏🙏', '泪目！全国近4万治愈患者 出院后他们都做了这件事\n \n \n二三里资讯青岛\n17小时前 · 二三里资讯青岛官方账号\n青岛新闻网2月29日讯 （记者 李倍）国务院联防联控机制2月29日就新冠肺炎治疗与患者康复有关情况举行新闻发布会。国家卫生健康委员会医政医管局监察专员郭燕红在发布会上介绍，截至目前，已向湖北派出的医疗力量达到4．2万人，其中护士2．86万，占医疗队总数的68％，在医疗救治中发挥了非常重要的作用。\n郭燕红说，无论是在方舱医院还是隔离病区还是救治重症的ICU都有护士的身影，护士在新冠肺炎患者的医疗救治当中精心照顾、精心治疗、精心观察病情，给予患者心理支持，与医生一道，为促进患者康复、提高治愈率做出了积极的贡献。\n同时，国家卫生健康委新闻发言人、宣传司副司长米锋表示，目前，全国新冠肺炎治愈康复患者已近4万人，这些患者在康复后共同选择做了一件事，那就是捐献血浆，用于挽救更多的生命，我们期待有更多的患者能够治愈出院，也期待所有医者平安归来。\n来源：青岛新闻网', '全国除了湖北外省就多了三个，其中我老家这边新增一个重症病例']
